PCR-300 default assign
notes     noteon              A1        ctl 80 ch 1
bend      bend                A2        ctl 80 ch 2
mod       ctl 1               A3        ctl 80 ch 3
aftertouchaftertouch          A4        ctl 80 ch 4
program   program             A5        ctl 80 ch 5
channel   channel             A6        ctl 80 ch 6
pedal 1   ctl 64              A7        ctl 80 ch 7
pedal 2   ctl 11              A8        ctl 80 ch 8
R1        ctl 16 ch 1         A9        ctl 83 ch 1
R2        ctl 16 ch 2         B1        ctl 81 ch 1
R3        ctl 16 ch 3         B2        ctl 81 ch 2
R4        ctl 16 ch 4         B3        ctl 81 ch 3
R5        ctl 16 ch 5         B4        ctl 81 ch 4
R6        ctl 16 ch 6         B5        ctl 81 ch 5
R7        ctl 16 ch 7         B6        ctl 81 ch 6
R8        ctl 16 ch 8         B7        ctl 81 ch 7
R9        ctl 18 ch 1         B8        ctl 81 ch 8
S1        ctl 17 ch 1         B9        ctl 83 ch 2
S2        ctl 17 ch 2         C1        ctl 82 ch 1
S3        ctl 17 ch 3         C2        ctl 82 ch 2
S4        ctl 17 ch 4         C3        ctl 82 ch 3
S5        ctl 17 ch 5         H1        ctl 19 ch 1
S6        ctl 17 ch 6         H2        ctl 19 ch 2
S7        ctl 17 ch 7         L1        ctl 82 ch 9
S8        ctl 17 ch 8         L2        ctl 82 ch 14
S9        ctl 18 ch 2         L3        ctl 82 ch 15
                              L4        ctl 82 ch 11
